"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"623","4/24/2025","Larceny from auto","Outside","None reported","Male","45","Black or African American","Unknown","600 GIBSON RD","Southwest","Beechfield",39.273298,-76.695141,"Street","1:00","a.m."
"624","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","6300 YORK RD","Northern","Lake Walker",39.370541,-76.609735,"Convenience store","1:00","a.m."
"625","4/24/2025","Larceny","Inside","Personal weapons","Female","35","Black or African American","Not Hispanic or Latino","2700 CLAFLIN CT","Southern","Cherry Hill",39.246958,-76.628878,"Other/residential","1:00","a.m."
"626","4/24/2025","Larceny from auto","Outside","None reported","Male","55","None reported","Unknown","900 N LAKEWOOD AVE","Southeast","Madison-Eastend",39.301124,-76.579686,"Street","1:15","a.m."
"627","4/24/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Male","50","None reported","Not Hispanic or Latino","3300 E PRATT ST","Southeast","Highlandtown",39.290101,-76.570101,"Street","2:00","a.m."
"628","4/24/2025","Larceny of motor vehicle parts or accessories","Inside","None reported","Female","29","None reported","Unknown","4900 CEDARGARDEN RD","Southwest","Beechfield",39.278992,-76.696279,"Other/residential","2:00","a.m."
"629","4/24/2025","Larceny of motor vehicle parts or accessories","Outside","None reported","Male","28","None reported","Hispanic or Latino","300 S CLINTON ST","Southeast","Highlandtown",39.288359,-76.570161,"Street","2:30","a.m."
"630","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","5800 EASTERN AVE","Southeast","Pulaski Industrial Area",39.287283,-76.546502,"Convenience store","3:10","a.m."
"631","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1500 62ND ST","Southeast","Pulaski Industrial Area",39.310944,-76.530961,"Other/residential","3:30","a.m."
"632","4/24/2025","Larceny from auto","Outside","None reported","Female","60","Black or African American","Not Hispanic or Latino","2000 PRESBURY ST","Western","Easterwood",39.307826,-76.650445,"Street","3:30","a.m."
"633","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","6000 EASTERN AVE","Southeast","Bayview",39.287583,-76.544631,"Tavern/night club","3:39","a.m."
"634","4/24/2025","Larceny from auto","Outside","None reported","Female","40","White","Unknown","300 JOPLIN ST","Southeast","Bayview",39.290087,-76.538327,"Street","4:00","a.m."
"635","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1500 62ND ST","Southeast","Pulaski Industrial Area",39.310944,-76.530961,"Convenience store","4:00","a.m."
"636","4/24/2025","Larceny","Inside","None reported","Male","30","Black or African American","Not Hispanic or Latino","2500 W BELVEDERE AVE","Northwest","Levindale",39.352878,-76.666648,"Drug store / med  bldg","4:00","a.m."
"637","4/24/2025","Larceny from auto","Outside","None reported","Female","33","White","Not Hispanic or Latino","200 S HIGHLAND AVE","Southeast","Highlandtown",39.289125,-76.56926,"Street","5:13","a.m."
"638","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","1200 PONCA ST","Southeast","Canton Industrial Area",39.279786,-76.554573,"Convenience store","6:47","a.m."
"639","4/24/2025","Larceny of motor vehicle parts or accessories","Inside","None reported","Male","90","Black or African American","Not Hispanic or Latino","2100 CRIMEA RD","Northwest","Wakefield",39.310186,-76.703023,"Other/residential","9:04","a.m."
"640","4/24/2025","Larceny","Inside","None reported","None reported","None reported","None reported","None Reported","2300 E NORTHERN PKWY","Northeast","Hamilton Hills",39.368166,-76.566863,"Convenience store","1:40","p.m."
"641","4/24/2025","Larceny","Inside","None reported","Female","42","White","Not Hispanic or Latino","2300 E NORTHERN PKWY","Northeast","Hamilton Hills",39.368166,-76.566863,"Convenience store","1:40","p.m."
"642","4/24/2025","Shoplifting","Inside","None reported","None reported","None reported","None reported","None Reported","200 MCMECHEN ST","Western","Bolton Hill",39.307284,-76.627853,"Convenience store","2:00","p.m."
"643","4/24/2025","Larceny","Inside","None reported","Female","58","Black or African American","Unknown","800 GEORGE ST","Western","Heritage Crossing",39.29536,-76.631225,"Other/residential","2:00","p.m."
