"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"244","4/14/2025","Auto theft","Inside","None reported","Male","36","White","Hispanic or Latino","3800 E PRATT ST","Southeast","Highlandtown",39.2903,-76.564866,"Other/residential","6:00","a.m."
"245","4/14/2025","Auto theft","Outside","None reported","Male","58","None reported","Not Hispanic or Latino","3700 SAINT MARGARET ST","Southern","Brooklyn",39.232627,-76.595755,"Street","5:30","a.m."
"246","4/14/2025","Auto theft","Inside","None reported","Male","34","Black or African American","Unknown","1 W LAFAYETTE AVE","Eastern","Charles North",39.309728,-76.616591,"Other/residential","5:00","a.m."
"247","4/14/2025","Auto theft","Inside","None reported","Female","29","White","Not Hispanic or Latino","1200 W NORTHERN PKWY","Northern","Sabina-Mattfeldt",39.361308,-76.646962,"Other/residential","2:30","a.m."
"248","4/14/2025","Auto theft","Outside","None reported","Male","28","Black or African American","Not Hispanic or Latino","1300 GREENMOUNT AVE","Central","Johnston Square",39.305182,-76.608205,"Shed/garage","2:30","a.m."
"249","4/14/2025","Auto theft","Outside","None reported","Male","33","Black or African American","Not Hispanic or Latino","1300 GREENMOUNT AVE","Central","Johnston Square",39.305182,-76.608205,"Shed/garage","2:30","a.m."
"250","4/14/2025","Auto theft","Outside","None reported","Female","24","Black or African American","Not Hispanic or Latino","5600 BURTIS AVE","Northwest","Grove Park",39.336458,-76.706096,"Shed/garage","1:00","a.m."
"251","4/14/2025","Auto theft","Outside","None reported","Male","65","Black or African American","Not Hispanic or Latino","3900 CALLAWAY AVE","Northwest","Ashburton",39.33439,-76.67567,"Street","12:30","a.m."
"252","4/14/2025","Auto theft","Outside","None reported","Female","27","Black or African American","Unknown","4500 WESTCHESTER RD","Northwest","Windsor Hills",39.318334,-76.690222,"Street","12:30","a.m."
"253","4/14/2025","Auto theft","Outside","None reported","Female","26","Black or African American","Not Hispanic or Latino","5800 EDGEPARK RD","Northeast","Loch Raven",39.358371,-76.57606,"Street","12:00","a.m."
"254","4/7/2025","Auto theft","Outside","None reported","Female","29","Black or African American","Not Hispanic or Latino","900 COOKS LN","Southwest","West Hills",39.29633,-76.707178,"Street","12:40","a.m."
"255","4/7/2025","Auto theft","Outside","None reported","Male","28","Black or African American","Unknown","1100 COVINGTON ST","Southern","Riverside",39.277518,-76.60708,"Street","1:00","a.m."
"256","4/7/2025","Auto theft","Outside","None reported","Male","38","Black or African American","Not Hispanic or Latino","5500 WHITWOOD RD","Northeast","Cedonia",39.335379,-76.535434,"Street","3:00","a.m."
"257","4/7/2025","Auto theft","Outside","None reported","Female","30","Black or African American","Not Hispanic or Latino","2200 BROOKFIELD AVE","Western","Reservoir Hill",39.313065,-76.633207,"Street","8:47","a.m."
