"","crime_date","description","inside_outside","weapon","gender","age","race","ethnicity","location","new_district","neighborhood","latitude","longitude","premise_type","zt","zap"
"32","3/31/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"3800 CLARKS LN","Northwest","Fallstaff",39.360403,-76.702412,"Street","2:30:00",""
"33","3/29/2025","Auto theft","Inside",NA,"Male","65","Black or African American","Unknown","400 N CHAPELGATE LN","Southwest","Ten Hills",39.28804,-76.701363,"Other/residential","12:05:00",""
"34","3/28/2025","Auto theft","Outside",NA,"Male","28","Black or African American","Not Hispanic or Latino","2400 BARCLAY ST","Eastern","Barclay",39.316974,-76.611371,"Street","7:32:00",""
"35","3/28/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Not Hispanic or Latino","2400 BARCLAY ST","Eastern","Barclay",39.316974,-76.611371,"Street","7:32:00",""
"36","3/28/2025","Auto theft","Outside",NA,"Female","86","Black or African American","Not Hispanic or Latino","2700 MCELDERRY ST","Southeast","Mcelderry Park",39.29791,-76.57932,"Street","8:00:00",""
"37","3/25/2025","Auto theft","Inside",NA,"Male","25","White","Not Hispanic or Latino","500 STAMFORD RD","Southwest","Ten Hills",39.287297,-76.70517,"Other/residential","2:00:00",""
"38","3/24/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Not Hispanic or Latino","500 MOUNT HOLLY ST","Southwest","Allendale",39.293193,-76.679517,"Street","12:00:00",""
"39","4/2/2025","Auto theft","Outside",NA,"Male","33","Black or African American","Not Hispanic or Latino","2400 E OLIVER ST","Eastern","Broadway East",39.307951,-76.58421,"Street","6:00:00",""
"40","4/3/2025","Auto theft","Outside",NA,"Male","26","Black or African American","Not Hispanic or Latino","600 GEORGE ST","Central","Seton Hill",39.295517,-76.6252,"Shed/garage","2:12:00",""
"41","3/24/2025","Auto theft","Outside",NA,"Male","63","White","Not Hispanic or Latino","3900 ROSECREST AVE","Northwest","Glen",39.355116,-76.695968,"Street","2:55:00",""
"42","3/24/2025","Auto theft","Inside",NA,"Male","21","White","Hispanic or Latino","2600 S PACA ST","Southern","Mount Winans",39.261559,-76.647049,"Other/residential","8:00:00",""
"43","3/31/2025","Auto theft","Outside",NA,"Male","32","White","Not Hispanic or Latino","5000 WRIGHT AVE","Eastern","Armistead Gardens",39.305668,-76.55549,"Street","2:52:00",""
"44","3/30/2025","Auto theft","Outside",NA,"Male","53","Black or African American","Not Hispanic or Latino","1600 POPLAND ST","Southern","Curtis Bay",39.229168,-76.58875,"Street","11:26:00",""
"45","4/4/2025","Auto theft","Inside",NA,"Female","24","Black or African American","Not Hispanic or Latino","3600 COPLEY RD","Northwest","Ashburton",39.328766,-76.676198,"Other/residential","3:00:00",""
"46","4/2/2025","Auto theft","Outside",NA,"Male","46","Black or African American","Not Hispanic or Latino","2300 WICHITA AVE","Northern","Liberty Square",39.322662,-76.655767,"Street","11:30:00",""
"47","4/3/2025","Auto theft","Outside",NA,"Male","38","Asian","Unknown","400 JOPLIN ST","Southeast","Bayview",39.288953,-76.53811,"Street","12:00:00",""
"48","3/24/2025","Auto theft","Outside",NA,"Male","65","White","Not Hispanic or Latino","400 S BENTALOU ST","Southwest","Millhill",39.282659,-76.652632,"Street","7:15:00",""
"49","4/1/2025","Auto theft","Outside",NA,"Male","26","Black or African American","Not Hispanic or Latino","400 E PRATT ST","Central","Inner Harbor",39.286706,-76.609924,"Shed/garage","1:00:00",""
"50","4/1/2025","Auto theft","Outside",NA,"Male","34","None reported","Unknown","2400 S PACA ST","Southern","Mount Winans",39.26377,-76.644236,"Street","7:45:00",""
"51","4/5/2025","Auto theft","Outside",NA,"Female","29","Black or African American","Unknown","1800 FLEET ST","Central","Fells Point",39.2847,-76.591257,"Street","4:01:00",""
"52","4/6/2025","Auto theft","Outside",NA,"Female","78","Black or African American","Not Hispanic or Latino","4300 ELDERON AVE","Northwest","West Arlington",39.341814,-76.691843,"Street","12:00:00",""
"53","4/5/2025","Auto theft","Outside",NA,"Male","21","Black or African American","Not Hispanic or Latino","5900 RADECKE AVE","Northeast","Cedonia",39.330706,-76.531744,"Shed/garage","3:00:00",""
"54","4/5/2025","Auto theft","Inside",NA,"Male","27","Black or African American","Not Hispanic or Latino","1500 E FEDERAL ST","Eastern","Oliver",39.308463,-76.598185,"Unknown","9:00:00",""
"55","4/5/2025","Auto theft","Outside",NA,"Female","33","Unknown","Hispanic or Latino","6300 BROWN AVE","Southeast","Broening Manor",39.273919,-76.53771,"Street","3:02:00",""
"56","4/5/2025","Auto theft","Inside",NA,"Male","38","Black or African American","Not Hispanic or Latino","700 MCKEWIN AVE","Northern","Waverly",39.332794,-76.604829,"Other/residential","2:30:00",""
"57","4/3/2025","Auto theft","Outside",NA,"Female","47","Black or African American","Not Hispanic or Latino","3900 MAINE AVE","Northwest","Central Forest Park",39.326115,-76.682671,"Street","1:00:00",""
"58","3/28/2025","Auto theft","Inside",NA,NA,"None reported","None reported",NA,"1900 BAYARD ST","Southern","Carroll - Camden Industrial Area",39.274053,-76.629626,"Wholesaler/store","8:40:00",""
"59","3/29/2025","Auto theft","Outside",NA,"Male","39","Black or African American","Unknown","200 W BALTIMORE ST","Central","Downtown",39.289491,-76.617844,"Street","3:00:00",""
"60","4/6/2025","Auto theft","Outside",NA,"Female","33","Black or African American","Unknown","4100 AUDREY AVE","Southern","Brooklyn",39.23028,-76.603327,"Street","10:30:00",""
"61","4/6/2025","Auto theft","Outside",NA,"Male","57","Black or African American","Unknown","100 SIEGWART LN","Southwest","Saint Josephs",39.283524,-76.676249,"Street","11:10:00",""
"62","4/6/2025","Auto theft","Outside",NA,"Male","34","Black or African American","Not Hispanic or Latino","1700 GREENMOUNT AVE","Eastern","Greenmount West",39.309077,-76.609273,"Street","11:00:00",""
"63","4/4/2025","Auto theft","Outside",NA,"Male","37","Black or African American","Not Hispanic or Latino","5000 GOODNOW RD","Northeast","Frankford",39.326211,-76.546367,"Street","11:00:00",""
"64","4/5/2025","Auto theft","Outside",NA,"Female","33","Black or African American","Not Hispanic or Latino","3200 WASHINGTON BLVD","Southern","Morrell Park",39.257761,-76.663289,"Gas station","1:30:00",""
"65","4/4/2025","Auto theft","Outside",NA,"Male","38","White","Not Hispanic or Latino","100 WILLARD ST","Southwest","Shipley Hill",39.285679,-76.655426,"Street","4:15:00",""
"66","4/2/2025","Auto theft","Outside",NA,"Male","26","None reported","Unknown","3100 ELMORA AVE","Eastern","Four By Four",39.315811,-76.579728,"Street","7:03:00",""
"67","4/2/2025","Auto theft","Outside",NA,"Female","36","None reported","Unknown","3100 ELMORA AVE","Eastern","Four By Four",39.315811,-76.579728,"Street","7:03:00",""
"68","4/2/2025","Auto theft","Inside",NA,"Female","70","Black or African American","Unknown","3700 CHESHOLM RD","Northwest","Fairmount",39.309982,-76.681437,"Other/residential","11:00:00",""
"69","4/2/2025","Auto theft","Outside",NA,"Female","56","Black or African American","Not Hispanic or Latino","5000 LODESTONE WAY","Northeast","Parkside",39.321196,-76.55495,"Shed/garage","6:00:00",""
"70","4/4/2025","Auto theft","Outside",NA,"Male","68","Black or African American","Not Hispanic or Latino","5900 RADECKE AVE","Northeast","Cedonia",39.330678,-76.531905,"Shed/garage","11:15:00",""
"71","4/2/2025","Auto theft","Outside",NA,"Male","37","Unknown","Hispanic or Latino","3900 PALL MALL RD","Northern","Greenspring",39.334716,-76.659419,"Street","11:00:00",""
"72","3/28/2025","Auto theft","Outside",NA,"Female","56","Black or African American","Not Hispanic or Latino","1300 MADISON AVE","Western","Madison Park",39.303214,-76.62702,"Street","11:00:00",""
"73","3/28/2025","Auto theft","Outside",NA,"Female","44","Black or African American","Unknown","4500 FAIRFAX RD","Northwest","Windsor Hills",39.318938,-76.690573,"Street","8:00:00",""
"74","4/4/2025","Auto theft","Outside",NA,"Unknown","None reported","None reported","Not Hispanic or Latino","2900 W BELVEDERE AVE","Northwest","Pimlico Good Neighbors",39.351624,-76.671203,"Street","4:50:00",""
"75","4/5/2025","Auto theft","Outside",NA,"Male","31","Black or African American","Not Hispanic or Latino","700 RADNOR AVE","Northern","Richnor Springs",39.347343,-76.605284,"Street","3:00:00",""
"76","3/24/2025","Auto theft","Outside",NA,"Male","64","White","Not Hispanic or Latino","4100 PRIMROSE AVE","Northwest","Reisterstown Station",39.350517,-76.694634,"Shed/garage","8:06:00",""
"77","4/5/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"1300 N ROSE ST","Eastern","Berea",39.305897,-76.582275,"Street","2:00:00",""
"78","4/4/2025","Auto theft","Outside",NA,"Male","45","White","Not Hispanic or Latino","3400 CLARKS LN","Northwest","Cross Country",39.363741,-76.698027,"Shed/garage","11:00:00",""
"79","4/4/2025","Auto theft","Outside",NA,"Male","44","Black or African American","Unknown","4200 COLBORNE RD","Southwest","Rognel Heights",39.297752,-76.686808,"Street","6:15:00",""
"80","3/24/2025","Auto theft","Inside",NA,"Male","26","Black or African American","Not Hispanic or Latino","1500 KENNEWICK RD","Northeast","Ednor Gardens-Lakeside",39.334512,-76.593657,"Other/residential","11:00:00",""
"81","4/4/2025","Auto theft","Outside",NA,"Male","57","White","Not Hispanic or Latino","300 OAKDALE RD","Northern","Roland Park",39.348678,-76.632434,"Street","3:25:00",""
"82","4/4/2025","Auto theft","Inside",NA,"Male","50","Black or African American","Not Hispanic or Latino","1900 ETTING ST","Western","Druid Heights",39.306638,-76.635225,"Other/residential","4:30:00",""
"83","4/5/2025","Auto theft","Inside",NA,"Female","35","Black or African American","Not Hispanic or Latino","3800 FERNDALE AVE","Northwest","Howard Park",39.336864,-76.698385,"Other/residential","12:17:00",""
"84","3/31/2025","Auto theft","Inside",NA,"Male","55","Black or African American","Not Hispanic or Latino","1000 SOMERSET ST","Central","Johnston Square",39.301969,-76.601074,"Other/residential","4:00:00",""
"85","3/31/2025","Auto theft","Outside",NA,"Male","41","None reported","Hispanic or Latino","1200 GREENMOUNT AVE","Central","Johnston Square",39.303903,-76.607886,"Street","12:00:00",""
"86","4/5/2025","Auto theft","Inside",NA,"Male","39","White","Hispanic or Latino","2400 SIDNEY AVE","Southern","Westport",39.260163,-76.634559,"Office building","11:00:00",""
"87","4/6/2025","Auto theft","Outside",NA,"Male","35","Black or African American","Not Hispanic or Latino","2400 FRANCIS ST","Western","Penn North",39.312327,-76.641605,"Street","9:46:00",""
"88","4/2/2025","Auto theft","Inside",NA,"Female","28","Black or African American","Not Hispanic or Latino","2900 WATERVIEW AVE","Southern","Cherry Hill",39.257437,-76.631817,"Convenience store","5:05:00",""
"89","4/2/2025","Auto theft","Outside",NA,"Female","76","White","Unknown","3600 ROBERTS PL","Southeast","Baltimore Highlands",39.295706,-76.567677,"Street","7:50:00",""
"90","3/31/2025","Auto theft","Outside",NA,"Male","31","Black or African American","Not Hispanic or Latino","1800 S HANOVER ST","Southern","South Baltimore",39.269362,-76.615125,"Street","4:00:00",""
"91","4/2/2025","Auto theft","Inside",NA,"Male","28","Black or African American","Unknown","4400 LASALLE AVE","Northeast","Frankford",39.33653,-76.547998,"Other/residential","11:00:00",""
"92","3/29/2025","Auto theft","Outside",NA,"Male","34","Black or African American","Not Hispanic or Latino","700 W LEXINGTON ST","Southwest","Poppleton",39.291093,-76.629434,"Street","1:59:00",""
"93","4/1/2025","Auto theft","Outside",NA,"Male","59","Black or African American","Not Hispanic or Latino","1900 EUTAW PL","Western","Bolton Hill",39.309134,-76.632112,"Shed/garage","1:00:00",""
"94","3/28/2025","Auto theft","Outside",NA,"Male","48","Black or African American","Not Hispanic or Latino","500 DOLPHIN ST","Western","Upton",39.300949,-76.627969,"Street","11:00:00",""
"95","3/28/2025","Auto theft","Outside",NA,"Male","21","Black or African American","Unknown","400 E FEDERAL ST","Eastern","Greenmount West",39.30796,-76.610636,"Street","10:00:00",""
"96","3/27/2025","Auto theft","Outside",NA,"Female","44","Black or African American","Not Hispanic or Latino","1600 E BELVEDERE AVE","Northeast","Loch Raven",39.358397,-76.583949,"Street","8:30:00",""
"97","3/23/2025","Auto theft","Inside",NA,"Male","54","Black or African American","Not Hispanic or Latino","2300 N FULTON AVE","Western","Auchentoroly-Parkwood",39.314727,-76.644766,"Other/residential","12:27:00",""
"98","3/28/2025","Auto theft","Outside",NA,"Female","38","Black or African American","Not Hispanic or Latino","4100 FAIRVIEW AVE","Northwest","West Forest Park",39.322765,-76.686826,"Street","5:00:00",""
"99","3/23/2025","Auto theft","Outside",NA,"Female","32","White","Not Hispanic or Latino","3600 BOWERS AVE","Northwest","Grove Park",39.336516,-76.706013,"Shed/garage","4:00:00",""
"100","3/24/2025","Auto theft","Outside",NA,"Female","40","Black or African American","Not Hispanic or Latino","600 GOLD ST","Western","Sandtown-Winchester",39.307159,-76.639971,"Street","1:00:00",""
"101","3/24/2025","Auto theft","Inside",NA,"Male","57","White","Unknown","3800 GREENSPRING AVE","Northern","Park Circle",39.335331,-76.656259,"Other/residential","3:00:00",""
"102","4/6/2025","Auto theft","Outside",NA,"Female","34","Black or African American","Unknown","1200 E MADISON ST","Central","Oldtown",39.299201,-76.60185,"Street","3:30:00",""
"103","4/5/2025","Auto theft","Outside",NA,"Male","46","Black or African American","Unknown","3500 E NORTHERN PKWY","Northeast","Rosemont East",39.3592,-76.540871,"Shed/garage","5:00:00",""
"104","4/6/2025","Auto theft","Outside",NA,"Male","43","Black or African American","Not Hispanic or Latino","3900 BROOKLYN AVE","Southern","Brooklyn",39.232648,-76.602206,"Street","8:00:00",""
"105","4/5/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"4700 ERDMAN AVE","Eastern","Orangeville",39.307856,-76.560903,"Car lot-new/used","7:00:00",""
"106","4/5/2025","Auto theft","Outside",NA,"Female","23","Black or African American","Not Hispanic or Latino","1200 S LINWOOD AVE","Southeast","Canton",39.279108,-76.575418,"Street","6:37:00",""
"107","4/5/2025","Auto theft","Outside",NA,"Male","61","Black or African American","Hispanic or Latino","1200 S LINWOOD AVE","Southeast","Canton",39.279108,-76.575418,"Street","6:37:00",""
"108","4/6/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"4400 MARBLE HALL RD","Northeast","New Northwood",39.343603,-76.595276,"Street","3:30:00",""
"109","4/6/2025","Auto theft","Outside",NA,"Male","33","None reported","Hispanic or Latino","500 S MONROE ST","Southwest","Carrollton Ridge",39.281519,-76.646476,"Street","7:30:00",""
"110","4/5/2025","Auto theft","Outside",NA,"Male","41","White","Not Hispanic or Latino","6800 EASTBROOK AVE","Southeast","Eastwood",39.291265,-76.530973,"Street","8:00:00",""
"111","4/5/2025","Auto theft","Outside",NA,"Female","54","Black or African American","Not Hispanic or Latino","500 BEAUMONT AVE","Northern","Winston-Govans",39.351786,-76.609299,"Street","4:27:00",""
"112","4/5/2025","Auto theft","Inside",NA,"Female","75","Black or African American","Not Hispanic or Latino","5500 CEDONIA AVE","Northeast","Cedonia",39.335019,-76.533226,"Other/residential","4:00:00",""
"113","3/28/2025","Auto theft","Outside",NA,"Male","61","Asian","Unknown","2000 DIVISION ST","Western","Druid Heights",39.307216,-76.637005,"Street","11:00:00",""
"114","3/28/2025","Auto theft","Outside",NA,"Female","31","Black or African American","Not Hispanic or Latino","400 S CENTRAL AVE","Central","Little Italy",39.286285,-76.599328,"Shed/garage","2:30:00",""
"115","3/29/2025","Auto theft","Outside",NA,"Female","38","None reported","Hispanic or Latino","30 S EUTAW ST","Central","Downtown",39.287997,-76.620915,"Street","12:00:00",""
"116","3/27/2025","Auto theft","Outside",NA,"Male","55","None reported","Hispanic or Latino","4100 10TH ST","Southern","Brooklyn",39.230043,-76.598072,"Street","3:15:00",""
"117","3/27/2025","Auto theft","Outside",NA,"Female","27","White","Unknown","1300 LIGHT ST","Southern","South Baltimore",39.27457,-76.612086,"Street","9:00:00",""
"118","3/23/2025","Auto theft","Inside",NA,"Female","38","Black or African American","Not Hispanic or Latino","700 N CURLEY ST","Southeast","Madison-Eastend",39.299508,-76.576046,"Other/residential","10:00:00",""
"119","4/4/2025","Auto theft","Inside",NA,"Female","49","Black or African American","Not Hispanic or Latino","4300 SHELDON AVE","Eastern","Belair-Edison",39.326352,-76.561733,"Other/residential","1:20:00",""
"120","4/4/2025","Auto theft","Inside",NA,"Female","74","Black or African American","Not Hispanic or Latino","4300 SHELDON AVE","Eastern","Belair-Edison",39.326352,-76.561733,"Other/residential","1:20:00",""
"121","4/3/2025","Auto theft","Outside",NA,"Female","40","None reported","Hispanic or Latino","2800 EASTSHIRE DR","Southern","Lakeland",39.255459,-76.642876,"Street","10:32:00",""
"122","4/3/2025","Auto theft","Outside",NA,"Male","32","Black or African American","Unknown","200 E CHASE ST","Central","Mid-Town Belvedere",39.302467,-76.612184,"Street","10:20:00",""
"123","4/3/2025","Auto theft","Inside",NA,"Female","33","Black or African American","Unknown","900 CATOR AVE","Northern","Pen Lucy",39.339269,-76.602201,"Other/residential","10:30:00",""
"124","4/5/2025","Auto theft","Outside",NA,"Unknown","39","Black or African American","Unknown","100 S STRICKER ST","Southwest","Union Square",39.286379,-76.640921,"Street","4:05:00",""
"125","3/31/2025","Auto theft","Inside",NA,"Male","54","Black or African American","Not Hispanic or Latino","2300 BRYANT AVE","Western","Auchentoroly-Parkwood",39.317188,-76.648094,"Other/residential","4:48:00",""
"126","3/29/2025","Auto theft","Outside",NA,"Female","36","White","Not Hispanic or Latino","4500 EASTERN AVE","Southeast","Greektown",39.287196,-76.557926,"Street","1:15:00",""
"127","3/30/2025","Auto theft","Outside",NA,"Male","59","Unknown","Hispanic or Latino","1200 QUANTRIL WAY","Eastern","Armistead Gardens",39.307267,-76.551491,"Street","2:00:00",""
"128","3/27/2025","Auto theft","Outside","Rifle","Male","49","White","Unknown","1900 E BALTIMORE ST","Central","Washington Hill",39.291748,-76.590004,"Street","11:00:00",""
"129","3/27/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"3100 HAWKINS POINT RD","Southern","Hawkins Point",39.20302,-76.559682,"Car lot-new/used","1:30:00",""
"130","3/25/2025","Auto theft","Outside",NA,"Female","81","Black or African American","Not Hispanic or Latino","2300 ELSINORE AVE","Northwest","Garwyn Oaks",39.314211,-76.679284,"Street","10:30:00",""
"131","3/26/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"2700 E PRESTON ST","Eastern","Berea",39.306008,-76.579334,"Street","1:00:00",""
"132","4/5/2025","Auto theft","Inside",NA,"Male","26","White","Not Hispanic or Latino","2700 GATEHOUSE DR","Northwest","Purnell",39.321218,-76.705995,"Other/residential","2:00:00",""
"133","3/28/2025","Auto theft","Outside",NA,"Male","24","White","Unknown","1200 GLYNDON AVE","Southern","Washington Village/Pigtown",39.282331,-76.636218,"Street","1:00:00",""
"134","3/27/2025","Auto theft","Outside",NA,"Female","None reported","Black or African American","Unknown","3800 SHANNON DR","Eastern","Belair-Edison",39.320369,-76.559995,"Street","3:06:00",""
"135","4/1/2025","Auto theft","Outside",NA,"Male","55","White","Unknown","3100 NORTHWAY DR","Northeast","North Harford Road",39.362711,-76.547808,"Street","12:00:00",""
"136","3/26/2025","Auto theft","Outside",NA,"Female","38","Black or African American","Not Hispanic or Latino","1600 WESTWOOD AVE","Western","Sandtown-Winchester",39.309265,-76.643989,"Street","3:00:00",""
"137","3/26/2025","Auto theft","Outside",NA,"Male","36","Black or African American","Not Hispanic or Latino","3200 LAKE AVE","Eastern","Belair-Edison",39.321869,-76.570123,"Street","10:30:00",""
"138","3/23/2025","Auto theft","Outside",NA,"Female","22","Black or African American","Not Hispanic or Latino","3200 WESTMONT AVE","Northwest","Rosemont",39.301479,-76.669902,"Street","7:20:00",""
"139","4/1/2025","Auto theft","Inside",NA,"Male","44","Black or African American","Not Hispanic or Latino","100 S GILMOR ST","Southwest","Union Square",39.285759,-76.6423,"Other/residential","2:15:00",""
"140","3/31/2025","Auto theft","Outside",NA,"Male","31","Black or African American","Not Hispanic or Latino","4600 PARK HEIGHTS AVE","Northern","Central Park Heights",39.343126,-76.669207,"Shed/garage","6:00:00",""
"141","3/31/2025","Auto theft","Outside",NA,NA,"None reported","None reported",NA,"4200 RASPE AVE","Northeast","Cedmont",39.349618,-76.53645,"Street","1:00:00",""
"142","3/25/2025","Auto theft","Outside",NA,"Female","43","White","Unknown","1100 W NORTH AVE","Western","Reservoir Hill",39.310399,-76.635821,"Gas station","12:45:00",""
"143","3/25/2025","Auto theft","Outside",NA,"Female","47","Black or African American","Not Hispanic or Latino","2400 LOYOLA NORTHWAY","Northern","Greenspring",39.33861,-76.65846,"Shed/garage","1:35:00",""
"144","3/26/2025","Auto theft","Outside",NA,"Female","27","Black or African American","Unknown","400 OXFORD CT","Western","Upton",39.30107,-76.624775,"Shed/garage","12:00:00",""
"145","3/24/2025","Auto theft","Outside",NA,"Female","39","Black or African American","Not Hispanic or Latino","3500 CLIFTON AVE","Northwest","Mount Holly",39.310962,-76.676305,"Street","3:45:00",""
"146","4/3/2025","Auto theft","Inside",NA,"Male","55","Black or African American","Not Hispanic or Latino","800 N CURLEY ST","Southeast","Madison-Eastend",39.300401,-76.575955,"Other/residential","4:30:00",""
"147","4/2/2025","Auto theft","Outside",NA,"Male","44","Black or African American","Unknown","10 S TREMONT RD","Southwest","Tremont",39.283385,-76.694852,"Street","1:00:00",""
"148","4/3/2025","Auto theft","Inside",NA,"Female","44","Black or African American","Unknown","800 N CURLEY ST","Southeast","Madison-Eastend",39.300401,-76.575955,"Other/residential","4:30:00",""
"149","3/30/2025","Auto theft","Outside",NA,"Female","25","Black or African American","Unknown","1200 SAINT PAUL ST","Central","Mid-Town Belvedere",39.303548,-76.614523,"Street","1:00:00",""
"150","3/29/2025","Auto theft","Inside",NA,"Female","55","Black or African American","Unknown","5300 CORDELIA AVE","Northwest","Arlington",39.347602,-76.683392,"Other/residential","4:00:00",""
"151","4/4/2025","Auto theft","Outside",NA,"Male","36","Asian","Unknown","100 N BELNORD AVE","Southeast","Patterson Park Neighborhood",39.293757,-76.578488,"Shed/garage","12:00:00",""
"152","4/3/2025","Auto theft","Inside",NA,"Male","57","Black or African American","Not Hispanic or Latino","4100 GREENSPRING AVE","Northern","Greenspring",39.338214,-76.656976,"Other/residential","12:00:00",""
"153","3/31/2025","Auto theft","Outside",NA,"Male","38","White","Not Hispanic or Latino","1400 WELDON PL N","Northern","Medfield",39.337259,-76.64173,"Street","12:00:00",""
"154","3/26/2025","Auto theft","Outside",NA,"Male","37","Black or African American","Not Hispanic or Latino","3600 KENYON AVE","Eastern","Belair-Edison",39.319353,-76.562755,"Street","9:00:00",""
"155","3/31/2025","Auto theft","Outside",NA,"Male","43","White","Unknown","1700 RIDGELY ST","Southern","Carroll - Camden Industrial Area",39.273076,-76.631092,"Shed/garage","4:30:00",""
"156","3/26/2025","Auto theft","Inside",NA,"Female","72","White","Not Hispanic or Latino","1600 CHARLOTTE AVE","Southeast","Broening Manor",39.274245,-76.540373,"Other/residential","4:00:00",""
"157","3/26/2025","Auto theft","Inside",NA,"Male","50","White","Not Hispanic or Latino","1600 CHARLOTTE AVE","Southeast","Broening Manor",39.274245,-76.540373,"Other/residential","4:00:00",""
"158","3/27/2025","Auto theft","Outside",NA,"Female","29","White","Not Hispanic or Latino","4100 GRACE CT","Southern","Curtis Bay",39.228349,-76.587682,"Street","2:00:00",""
"159","3/27/2025","Auto theft","Inside",NA,"Male","37","Black or African American","Not Hispanic or Latino","500 MCCABE AVE","Northern","Woodbourne-Mccabe",39.352832,-76.609649,"Other/residential","1:00:00",""
"160","3/25/2025","Auto theft","Inside",NA,"Female","67","Black or African American","Not Hispanic or Latino","3700 CRESTFIELD CT","Northwest","Dolfield",39.337763,-76.678278,"Other/residential","6:00:00",""
"161","3/25/2025","Auto theft","Inside",NA,NA,"None reported","None reported",NA,NA,"Southeast","Hopkins Bayview",39.290133,-76.546936,"Drug store / med  bldg","6:30:00",""
"162","4/2/2025","Auto theft","Inside",NA,"Male","40","Black or African American","Not Hispanic or Latino","1500 HARLEM AVE","Western","Harlem Park",39.296592,-76.642892,"School","1:48:00",""
"163","4/2/2025","Auto theft","Inside",NA,"Male","20","Black or African American","Not Hispanic or Latino","6700 PULASKI HWY","Southeast","Pulaski Industrial Area",39.305631,-76.537192,"Office building","9:07:00",""
"164","3/30/2025","Auto theft","Outside",NA,"Male","57","Asian","Not Hispanic or Latino","400 E PATAPSCO AVE","Southern","Brooklyn",39.236975,-76.604669,"Street","6:00:00",""
"165","3/30/2025","Auto theft","Outside",NA,"Male","24","White","Unknown","400 MCMECHEN ST","Western","Madison Park",39.30512,-76.630357,"Street","9:59:00",""
"166","3/26/2025","Auto theft","Outside",NA,"Male","48","None reported","Hispanic or Latino","3000 ELIZABETH AVE","Southern","Lakeland",39.254835,-76.651417,"Street","12:00:00",""
"167","3/26/2025","Auto theft","Outside",NA,"Female","31","None reported","Not Hispanic or Latino","6000 EASTERN AVE","Southeast","Bayview",39.287588,-76.544534,"Street","1:30:00",""
"168","3/23/2025","Auto theft","Outside",NA,"Male","26","White","Hispanic or Latino","200 QUINTON ST","Southeast","Pulaski Industrial Area",39.291316,-76.531652,"Street","5:00:00",""
"169","3/26/2025","Auto theft","Outside",NA,"Female","90","Black or African American","Unknown","1200 SEMINOLE AVE","Southwest","Rognel Heights",39.300109,-76.691212,"Other - outside","5:33:00",""
"170","3/26/2025","Auto theft","Outside",NA,"Male","61","White","Not Hispanic or Latino","200 S CLINTON ST","Southeast","Highlandtown",39.289163,-76.570211,"Street","1:30:00",""
"171","3/25/2025","Auto theft","Outside",NA,"Male","36","White","Not Hispanic or Latino","1200 S CONKLING ST","Southeast","Brewers Hill",39.279349,-76.566607,"Shed/garage","5:00:00",""
"172","3/26/2025","Auto theft","Outside",NA,"Male","27","Black or African American","Unknown","2300 HARFORD RD","Eastern","East Baltimore Midway",39.316312,-76.595876,"Gas station","6:30:00",""
"173","3/26/2025","Auto theft","Inside",NA,"Female","30","Black or African American","Not Hispanic or Latino","1500 E 36TH ST","Northeast","Ednor Gardens-Lakeside",39.332288,-76.594077,"Other/residential","3:00:00",""
"174","3/23/2025","Auto theft","Inside",NA,"Female","36","Black or African American","Not Hispanic or Latino","3900 TIVOLY AVE","Northeast","Ednor Gardens-Lakeside",39.337225,-76.592188,"Other/residential","2:00:00",""
"175","3/21/2025","Auto theft","Outside",NA,"Male","65","Native Hawaiian or other Pacific Islander","Not Hispanic or Latino","2600 WASHINGTON BLVD","Southern","Morrell Park",39.265103,-76.654293,"Street","10:30:00",""
"176","3/18/2025","Auto theft","Outside",NA,"Female","25","Black or African American","Unknown","2200 ORLEANS ST","Southeast","Care",39.295434,-76.585465,"Street","2:00:00",""
"177","3/21/2025","Auto theft","Outside",NA,"Female","64","Black or African American","Unknown","5300 TODD AVE","Northeast","Frankford",39.328618,-76.538639,"Street","8:17:00",""
"178","3/21/2025","Auto theft","Outside",NA,"Female","58","Black or African American","Not Hispanic or Latino","2800 FOREST GLEN RD","Northwest","West Forest Park",39.318153,-76.694348,"Street","2:00:00",""
"179","4/1/2025","Auto theft","Outside",NA,"Female","22","Black or African American","Not Hispanic or Latino","5300 JAMESTOWN CT","Southwest","Westgate",39.283516,-76.708028,"Street","10:45:00",""
"180","4/1/2025","Auto theft","Outside",NA,"Male","42","Black or African American","Not Hispanic or Latino","5900 HARFORD RD","Northeast","Hamilton Hills",39.356108,-76.558243,"Shed/garage","3:35:00",""
"181","4/1/2025","Auto theft","Inside","Blunt object","Female","27","Black or African American","Unknown","800 DARTMOUTH RD","Northeast","Evesham Park",39.36585,-76.605475,"Other/residential","6:30:00",""
"182","3/29/2025","Auto theft","Outside",NA,"Female","70","Black or African American","Unknown","800 SHERIDAN AVE","Northern","Woodbourne-Mccabe",39.353709,-76.604381,"Street","1:08:00",""
